iter	Logloss
0	0.3983783351
1	0.2390002103
2	0.1537646301
3	0.1088136058
4	0.07857182704
5	0.06240476155
6	0.0492345956
7	0.0417183936
8	0.03647705949
9	0.03203673793
10	0.02959117167
11	0.02750936166
12	0.02620829806
13	0.02472619796
14	0.02351809643
15	0.02256611571
16	0.02184710954
17	0.02125907233
18	0.02068479211
19	0.0201785152
20	0.01980220822
21	0.01923055768
22	0.01889273753
23	0.01868222089
24	0.01848938386
25	0.01827736178
26	0.01804499413
27	0.01788812191
28	0.01773345947
29	0.01753581557
30	0.01739148897
31	0.0172723345
32	0.0170976613
33	0.01699343345
34	0.01673203136
35	0.0166275022
36	0.01648170817
37	0.01638395323
38	0.01632603222
39	0.01621447987
40	0.01604343794
41	0.01582859644
42	0.01570677188
43	0.01561286655
44	0.01557590627
45	0.01549253717
46	0.01541569105
47	0.01534815445
48	0.01523278749
49	0.01518662165
50	0.01514970668
51	0.01509013124
52	0.01501453922
53	0.01493515058
54	0.01480775709
55	0.01471797726
56	0.014687127
57	0.01461432121
58	0.01456833546
59	0.01446432259
60	0.0144389797
61	0.01439849579
62	0.01434542997
63	0.01430265116
64	0.01427939292
65	0.0142249375
66	0.0141840457
67	0.01415779901
68	0.0141262352
69	0.01403478215
70	0.01400321273
71	0.01392450396
72	0.01389172365
73	0.01383205799
74	0.01377262473
75	0.01375040327
76	0.01368470889
77	0.01354737672
78	0.01353241233
79	0.0134822623
80	0.01338571358
81	0.01335407386
82	0.01327548221
83	0.01323095152
84	0.01320450047
85	0.01319188224
86	0.01317162609
87	0.01305482995
88	0.01299606062
89	0.01295576716
90	0.01285351696
91	0.01280629369
92	0.01273172653
93	0.01269255121
94	0.0126778965
95	0.01266955408
96	0.01264950154
97	0.01262382394
98	0.01258885587
99	0.01254982927
100	0.01251434753
101	0.01248917721
102	0.01245872257
103	0.01242034895
104	0.01235370557
105	0.01231644763
106	0.01229722591
107	0.01226047109
108	0.01222630471
109	0.01220989779
110	0.01217315992
111	0.01215156408
112	0.01210950186
113	0.01208991665
114	0.01204243135
115	0.01201237016
116	0.01199225719
117	0.0119533968
118	0.01193397755
119	0.0119059338
120	0.01188322785
121	0.01184858044
122	0.01182027884
123	0.01179097976
124	0.01177221244
125	0.0117514705
126	0.01171793222
127	0.0116916561
128	0.01167413131
129	0.01165698339
130	0.01163674221
131	0.01158530992
132	0.0115564485
133	0.01152988197
134	0.01151532362
135	0.011491383
136	0.01145524101
137	0.01143132796
138	0.01139641855
139	0.01138070935
140	0.0113506654
141	0.01133366837
142	0.01132011794
143	0.0112992868
144	0.01128640603
145	0.01126669825
146	0.01125011251
147	0.01122914118
148	0.01120479837
149	0.01119561781
150	0.01117557206
151	0.01113196686
152	0.01111487104
153	0.01109742761
154	0.01107337188
155	0.01106113803
156	0.01105175668
157	0.01103506961
158	0.01100994613
159	0.01099147449
160	0.01096897023
161	0.01094143397
162	0.01092848191
163	0.01091188002
164	0.01087680349
165	0.01085620099
166	0.01082445342
167	0.01080685891
168	0.0107888704
169	0.01077682704
170	0.01075666968
171	0.01071465781
172	0.01070489656
173	0.01068563235
174	0.0106626273
175	0.01065024722
176	0.01063585119
177	0.01060593819
178	0.01058982243
179	0.01057979744
180	0.01057043168
181	0.01055288322
182	0.01053224389
183	0.01051979209
184	0.01049769498
185	0.01047764621
186	0.01045460593
187	0.0104453978
188	0.01043598862
189	0.01041629484
190	0.0104080868
191	0.01039574682
192	0.01032515693
193	0.01031937256
194	0.01028829906
195	0.01027871233
196	0.0102637349
197	0.01026376956
198	0.01026371223
199	0.01024760988
